year,rcp,global_ce_dmg,global_dmg,global_dmg_old,gdp,pct_gdp_ce,pct_gdp,pct_gdp_old
2096,rcp45,1201265080835.5986,1192017076336.2888,1192017076336.294,269746874029690.8,0.004453304918385732,0.004419020908487282,0.004419020908487301
2096,rcp85,4582373131997.956,4482606351072.523,4482606351072.533,269746874029690.8,0.016987678350235777,0.016617825015385078,0.016617825015385113
2097,rcp45,1143380297252.4136,1133189715016.761,1133189715016.766,271889161310994.75,0.0042053176807021805,0.004167837031651973,0.004167837031651992
2097,rcp85,4724510692167.008,4617172906536.719,4617172906536.7295,271889161310994.75,0.017376605486538594,0.016981820401643234,0.016981820401643272
2098,rcp45,1238605773959.8362,1227055212018.0632,1227055212018.0679,275458005882867.12,0.00449653213015173,0.004454599923807781,0.004454599923807798
2098,rcp85,4904840309209.806,4785348426123.123,4785348426123.135,275458005882867.12,0.017806127266075864,0.017372333800158252,0.017372333800158294
2099,rcp45,1294103027290.7065,1283563137327.69,1283563137327.6948,277686898032266.06,0.004660295593565733,0.004622339571737898,0.004622339571737915
2099,rcp85,5105950547899.149,4970774241498.438,4970774241498.449,277686898032266.06,0.01838743773682062,0.017900643770815773,0.01790064377081581
2100,rcp45,0,0,0,279943421535150.06,0,0,0
2100,rcp85,0,0,0,279943421535150.06,0,0,0
